# Všechny instance
## Uživatelé za instanci:
- mastodon.social: ~1,67 mil. (rozdíl ~58,7 tis.)
- pawoo.net: ~925,37 tis. (rozdíl ~3,14 tis.)
- daystorm.netz.org: ~479 tis. (rozdíl ~0)
- mstdn.jp: ~402,42 tis. (rozdíl ~586)
- baraag.net: ~293,16 tis. (rozdíl ~-66)
- mastodon.cloud: ~273,66 tis. (rozdíl ~73)
- pravda.me: ~228,88 tis. (rozdíl ~13,35 tis.)
- mstdn.social: ~216,26 tis. (rozdíl ~2,7 tis.)
- mastodon.online: ~192,56 tis. (rozdíl ~2,75 tis.)
- mastodon.world: ~179,06 tis. (rozdíl ~1,12 tis.)
- mas.to: ~166,86 tis. (rozdíl ~654)
- gc2.jp: ~99,86 tis. (rozdíl ~-40)
- techhub.social: ~78,9 tis. (rozdíl ~293)
- universeodon.com: ~77,33 tis. (rozdíl ~452)
- mastodonapp.uk: ~75,5 tis. (rozdíl ~972)
- masto.ai: ~73,13 tis. (rozdíl ~333)
- mastodon.sdf.org: ~72,74 tis. (rozdíl ~-29)
- mastodon.uno: ~70,15 tis. (rozdíl ~530)
- c.im: ~64,92 tis. (rozdíl ~430)
- fosstodon.org: ~61,48 tis. (rozdíl ~56)
- infosec.exchange: ~61,18 tis. (rozdíl ~921)
- mastodon.top: ~51,2 tis. (rozdíl ~108)
- evsyukov.org: ~50,27 tis. (rozdíl ~514)
- persistent.info: ~50,27 tis. (rozdíl ~514)
- hachyderm.io: ~50,27 tis. (rozdíl ~514)
- mstdn.party: ~50,17 tis. (rozdíl ~119)
- m.cmx.im: ~42,57 tis. (rozdíl ~1,32 tis.)
- troet.cafe: ~42,55 tis. (rozdíl ~325)
- mastodon.nl: ~40,22 tis. (rozdíl ~172)
- social.vivaldi.net: ~39,49 tis. (rozdíl ~1,53 tis.)
- ohai.social: ~38,8 tis. (rozdíl ~56)
- sfba.social: ~38,52 tis. (rozdíl ~-8)
- mamot.fr: ~38,39 tis. (rozdíl ~-11)
- ploum.be: ~38,39 tis. (rozdíl ~38,39 tis.)
- kolektiva.social: ~36,94 tis. (rozdíl ~134)
- loforo.com: ~36,85 tis. (rozdíl ~1,19 tis.)
- mastodon.art: ~35,72 tis. (rozdíl ~301)
- mindly.social: ~35,6 tis. (rozdíl ~21)
- mstdn.ca: ~35,03 tis. (rozdíl ~68)
- tkz.one: ~33,67 tis. (rozdíl ~248)
- mast.lat: ~33,67 tis. (rozdíl ~247)
- mastorock.com: ~33,36 tis. (rozdíl ~0)
- toot.community: ~30,61 tis. (rozdíl ~83)
- alive.bar: ~30,37 tis. (rozdíl ~268)
- mastodon.gamedev.place: ~29,52 tis. (rozdíl ~528)
- mastodon.scot: ~28,69 tis. (rozdíl ~15)
- www.mastodon.scot: ~28,69 tis. (rozdíl ~15)
- mastodon.xyz: ~28,53 tis. (rozdíl ~-6)
- piaille.fr: ~28,14 tis. (rozdíl ~455)
- qoto.org: ~26,52 tis. (rozdíl ~123)
- mastodon.au: ~26,18 tis. (rozdíl ~23)
- ravenation.club: ~26,04 tis. (rozdíl ~519)
- ioc.exchange: ~26,02 tis. (rozdíl ~72)
- aus.social: ~24,92 tis. (rozdíl ~60)
- masto.es: ~24,02 tis. (rozdíl ~272)
- planet.moe: ~23,45 tis. (rozdíl ~533)
- wxw.moe: ~22,32 tis. (rozdíl ~284)
- wxw.ooo: ~22,32 tis. (rozdíl ~283)
- mastouille.fr: ~21,35 tis. (rozdíl ~72)
- social.tchncs.de: ~21,32 tis. (rozdíl ~138)
- det.social: ~21,13 tis. (rozdíl ~688)
- newsie.social: ~20,86 tis. (rozdíl ~-13)
- mastodon.com.tr: ~20,72 tis. (rozdíl ~44)
- mastodon.ie: ~20,71 tis. (rozdíl ~55)
- mastodon.bida.im: ~20,65 tis. (rozdíl ~60)
- masto.nu: ~20,34 tis. (rozdíl ~112)
- o3o.ca: ~18,04 tis. (rozdíl ~340)
- nrw.social: ~17,94 tis. (rozdíl ~8)
- m.rthome.me: ~17,67 tis. (rozdíl ~29)
- me.dm: ~16,79 tis. (rozdíl ~945)
- abdl.link: ~16,65 tis. (rozdíl ~18)
- mastodon.nu: ~16,55 tis. (rozdíl ~55)
- mastodontech.de: ~16,53 tis. (rozdíl ~-1)
- mathstodon.xyz: ~16,29 tis. (rozdíl ~359)
- theblower.au: ~15,25 tis. (rozdíl ~12)
- mastodon-japan.net: ~15,07 tis. (rozdíl ~213)
- glasgow.social: ~14,79 tis. (rozdíl ~8)
- mao.mastodonhub.com: ~14,65 tis. (rozdíl ~29)
- sueden.social: ~14,36 tis. (rozdíl ~11)
- aethy.com: ~14,29 tis. (rozdíl ~2,06 tis.)
- ieji.de: ~13,98 tis. (rozdíl ~72)
- noc.social: ~13,31 tis. (rozdíl ~21)
- toot.wales: ~13,28 tis. (rozdíl ~13,28 tis.)
- kinky.business: ~13,05 tis. (rozdíl ~46)
- tech.lgbt: ~13,01 tis. (rozdíl ~134)
- meow.social: ~12,98 tis. (rozdíl ~35)
- norden.social: ~12,95 tis. (rozdíl ~21)
- eldritch.cafe: ~12,77 tis. (rozdíl ~18)
- octodon.social: ~12,22 tis. (rozdíl ~-1)
- social.cologne: ~11,95 tis. (rozdíl ~43)
- mastodon.green: ~11,92 tis. (rozdíl ~4)
- chaos.social: ~11,4 tis. (rozdíl ~61)
- defcon.social: ~11,34 tis. (rozdíl ~304)
- toot.io: ~11,2 tis. (rozdíl ~70)
- social.linux.pizza: ~11,18 tis. (rozdíl ~90)
- denostodon.deno.dev: ~11,14 tis. (rozdíl ~42)
- indieweb.social: ~11,14 tis. (rozdíl ~42)
- awscommunity.social: ~11,04 tis. (rozdíl ~6)
- mastodon.iriseden.eu: ~11,03 tis. (rozdíl ~-168)
- muenchen.social: ~10,81 tis. (rozdíl ~0)
- framapiaf.org: ~10,78 tis. (rozdíl ~-12)
- med-mastodon.com: ~10,67 tis. (rozdíl ~33)
- sigmoid.social: ~10,46 tis. (rozdíl ~62)
- ruhr.social: ~10,39 tis. (rozdíl ~-4)
- social.anoxinon.de: ~10,25 tis. (rozdíl ~27)
- social.dev-wiki.de: ~10,22 tis. (rozdíl ~76)
- nerdculture.de: ~10,15 tis. (rozdíl ~56)
- mstdn.tokyocameraclub.com: ~10,06 tis. (rozdíl ~33)
- love.alicecomplex.com: ~9,9 tis. (rozdíl ~0)
- hessen.social: ~9,85 tis. (rozdíl ~16)
- ro-mastodon.puyo.jp: ~9,7 tis. (rozdíl ~402)
- climatejustice.social: ~9,66 tis. (rozdíl ~21)
- projectmushroom.social: ~9,34 tis. (rozdíl ~-7)
- noagendasocial.com: ~9,09 tis. (rozdíl ~52)
- mastodon.nz: ~9,02 tis. (rozdíl ~9)
- cyberplace.social: ~8,96 tis. (rozdíl ~38)
- dice.camp: ~8,62 tis. (rozdíl ~57)
- stranger.social: ~8,48 tis. (rozdíl ~156)
- botsin.space: ~8,46 tis. (rozdíl ~75)
- aipi.social: ~8,41 tis. (rozdíl ~17)
- socel.net: ~8,4 tis. (rozdíl ~10)
- hostux.social: ~8,22 tis. (rozdíl ~10)
- 101010.pl: ~8,21 tis. (rozdíl ~28)
- twit.social: ~8,16 tis. (rozdíl ~24)
- h4.io: ~8,1 tis. (rozdíl ~31)
- me.ns.ci: ~8,06 tis. (rozdíl ~17)
- mastodon.fun: ~8,06 tis. (rozdíl ~17)
- econtwitter.net: ~8,03 tis. (rozdíl ~3)
- geekdom.social: ~7,99 tis. (rozdíl ~-17)
- g0v.social: ~7,53 tis. (rozdíl ~18)
- mastodont.cat: ~7,47 tis. (rozdíl ~27)
- persiansmastodon.com: ~7,26 tis. (rozdíl ~1,09 tis.)
- truthsocial.co.in: ~7,21 tis. (rozdíl ~-1)
- graphics.social: ~7,18 tis. (rozdíl ~153)
- mstdn.science: ~7,04 tis. (rozdíl ~54)
- nojack.easydns.ca: ~6,95 tis. (rozdíl ~0)
- vocalodon.net: ~6,95 tis. (rozdíl ~3)
- social.librem.one: ~6,9 tis. (rozdíl ~7)
- pol.social: ~6,8 tis. (rozdíl ~84)
- livellosegreto.it: ~6,56 tis. (rozdíl ~324)
- vis.social: ~6,2 tis. (rozdíl ~21)
- urbanists.social: ~6,17 tis. (rozdíl ~19)
- queer.party: ~6,15 tis. (rozdíl ~2)
- freemasonry.social: ~5,98 tis. (rozdíl ~954)
- dju.social: ~5,76 tis. (rozdíl ~-5)
- union.place: ~5,7 tis. (rozdíl ~16)
- ruby.social: ~5,69 tis. (rozdíl ~70)
- imastodon.net: ~5,67 tis. (rozdíl ~5)
- toot.funami.tech: ~5,62 tis. (rozdíl ~-19)
- occm.cc: ~5,62 tis. (rozdíl ~174)
- zirk.us: ~5,49 tis. (rozdíl ~38)
- kirakiratter.com: ~5,48 tis. (rozdíl ~-1)
- metalhead.club: ~5,39 tis. (rozdíl ~28)
- social.politicaconciencia.org: ~5,36 tis. (rozdíl ~8)
- fediscience.org: ~5,31 tis. (rozdíl ~84)
- moth.social: ~5,3 tis. (rozdíl ~131)
- toot.aquilenet.fr: ~5,18 tis. (rozdíl ~0)
- mastodonczech.cz: ~5,18 tis. (rozdíl ~29)
- mastodontti.fi: ~5,16 tis. (rozdíl ~60)
- ecoevo.social: ~5,16 tis. (rozdíl ~24)
- masto.pt: ~5,14 tis. (rozdíl ~14)
- cupoftea.social: ~5,02 tis. (rozdíl ~41)
- bark.lgbt: ~5,01 tis. (rozdíl ~87)
- convo.casa: ~4,97 tis. (rozdíl ~31)
- scholar.social: ~4,79 tis. (rozdíl ~0)
- mstdn.guru: ~4,77 tis. (rozdíl ~2)
- kinkyelephant.com: ~4,66 tis. (rozdíl ~37)
- rollenspiel.social: ~4,52 tis. (rozdíl ~8)
- gensokyo.town: ~4,5 tis. (rozdíl ~1)
- mastodon.eus: ~4,44 tis. (rozdíl ~15)
