# Všechny instance
## Uživatelé za instanci:
- mastodon.social: ~1,36 mil. (rozdíl ~29,11 tis.)
- pawoo.net: ~890,08 tis. (rozdíl ~1,06 tis.)
- switter.at: ~435,49 tis. (rozdíl ~0)
- mstdn.jp: ~380,28 tis. (rozdíl ~3,28 tis.)
- daystorm.netz.org: ~309 tis. (rozdíl ~17 tis.)
- baraag.net: ~294,06 tis. (rozdíl ~14)
- mastodon.cloud: ~261,18 tis. (rozdíl ~226)
- mstdn.social: ~203,74 tis. (rozdíl ~566)
- mastodon.online: ~181,4 tis. (rozdíl ~327)
- mastodon.world: ~170,1 tis. (rozdíl ~562)
- mas.to: ~162,06 tis. (rozdíl ~237)
- pravda.me: ~143,62 tis. (rozdíl ~1)
- gc2.jp: ~100,05 tis. (rozdíl ~0)
- techhub.social: ~77,23 tis. (rozdíl ~50)
- universeodon.com: ~75,25 tis. (rozdíl ~71)
- mastodon.sdf.org: ~72,74 tis. (rozdíl ~13)
- masto.ai: ~70,64 tis. (rozdíl ~70)
- mastodon.uno: ~67,87 tis. (rozdíl ~65)
- c.im: ~63,59 tis. (rozdíl ~29)
- fosstodon.org: ~59,48 tis. (rozdíl ~56)
- infosec.exchange: ~56,05 tis. (rozdíl ~135)
- mastodon.top: ~50,96 tis. (rozdíl ~-1)
- mstdn.party: ~49,44 tis. (rozdíl ~33)
- hachyderm.io: ~48,15 tis. (rozdíl ~44)
- troet.cafe: ~40,76 tis. (rozdíl ~97)
- m.cmx.im: ~39,83 tis. (rozdíl ~53)
- mastodon.nl: ~39,13 tis. (rozdíl ~25)
- ohai.social: ~38,45 tis. (rozdíl ~20)
- mamot.fr: ~38,44 tis. (rozdíl ~-1)
- sfba.social: ~38,36 tis. (rozdíl ~31)
- kolektiva.social: ~36,29 tis. (rozdíl ~8)
- mindly.social: ~35,5 tis. (rozdíl ~9)
- mstdn.ca: ~34,53 tis. (rozdíl ~26)
- mastodon.art: ~32,93 tis. (rozdíl ~126)
- social.vivaldi.net: ~32,65 tis. (rozdíl ~108)
- loforo.com: ~32,28 tis. (rozdíl ~38)
- mast.lat: ~31,3 tis. (rozdíl ~139)
- tkz.one: ~31,3 tis. (rozdíl ~146)
- mastorock.com: ~31,3 tis. (rozdíl ~137)
- toot.community: ~30,11 tis. (rozdíl ~12)
- alive.bar: ~29,66 tis. (rozdíl ~21)
- mastodon.xyz: ~28,62 tis. (rozdíl ~-3)
- mastodon.scot: ~28,6 tis. (rozdíl ~21)
- www.mastodon.scot: ~28,6 tis. (rozdíl ~20)
- mastodon.gamedev.place: ~26,43 tis. (rozdíl ~71)
- qoto.org: ~26,15 tis. (rozdíl ~5)
- mastodon.au: ~26,06 tis. (rozdíl ~5)
- ioc.exchange: ~25,84 tis. (rozdíl ~6)
- piaille.fr: ~24,83 tis. (rozdíl ~103)
- aus.social: ~24,51 tis. (rozdíl ~26)
- ravenation.club: ~23,96 tis. (rozdíl ~76)
- masto.nu: ~21,74 tis. (rozdíl ~48)
- masto.es: ~21,71 tis. (rozdíl ~204)
- wxw.ooo: ~21,68 tis. (rozdíl ~-4)
- wxw.moe: ~21,68 tis. (rozdíl ~-5)
- twingyeo.kr: ~21,18 tis. (rozdíl ~696)
- mastouille.fr: ~21,08 tis. (rozdíl ~25)
- newsie.social: ~20,94 tis. (rozdíl ~1)
- social.tchncs.de: ~20,79 tis. (rozdíl ~9)
- mastodon.bida.im: ~20,47 tis. (rozdíl ~12)
- mastodon.ie: ~20,45 tis. (rozdíl ~13)
- mastodon.com.tr: ~20,08 tis. (rozdíl ~-13)
- planet.moe: ~19,6 tis. (rozdíl ~1,69 tis.)
- det.social: ~18,7 tis. (rozdíl ~22)
- nerdculture.de: ~18,19 tis. (rozdíl ~35)
- nrw.social: ~17,82 tis. (rozdíl ~4)
- m.rthome.me: ~17,57 tis. (rozdíl ~2)
- o3o.ca: ~17,29 tis. (rozdíl ~31)
- mastodontech.de: ~16,53 tis. (rozdíl ~4)
- abdl.link: ~16,52 tis. (rozdíl ~2)
- mastodon.nu: ~16,32 tis. (rozdíl ~10)
- theblower.au: ~15,18 tis. (rozdíl ~2)
- mathstodon.xyz: ~14,96 tis. (rozdíl ~81)
- glasgow.social: ~14,78 tis. (rozdíl ~0)
- mao.mastodonhub.com: ~14,58 tis. (rozdíl ~3)
- sueden.social: ~14,3 tis. (rozdíl ~5)
- ieji.de: ~13,57 tis. (rozdíl ~10)
- toot.wales: ~13,52 tis. (rozdíl ~2)
- noc.social: ~13,24 tis. (rozdíl ~3)
- norden.social: ~12,76 tis. (rozdíl ~5)
- me.dm: ~12,73 tis. (rozdíl ~43)
- eldritch.cafe: ~12,69 tis. (rozdíl ~9)
- kinky.business: ~12,62 tis. (rozdíl ~9)
- octodon.social: ~12,2 tis. (rozdíl ~0)
- mastodon-japan.net: ~12,14 tis. (rozdíl ~743)
- tech.lgbt: ~12,01 tis. (rozdíl ~43)
- mastodon.green: ~11,87 tis. (rozdíl ~1)
- meow.social: ~11,83 tis. (rozdíl ~72)
- social.cologne: ~11,75 tis. (rozdíl ~5)
- chaos.social: ~11,03 tis. (rozdíl ~3)
- awscommunity.social: ~11,02 tis. (rozdíl ~3)
- mastodon.iriseden.eu: ~10,97 tis. (rozdíl ~5)
- indieweb.social: ~10,96 tis. (rozdíl ~6)
- denostodon.deno.dev: ~10,96 tis. (rozdíl ~4)
- social.linux.pizza: ~10,88 tis. (rozdíl ~4)
- muenchen.social: ~10,8 tis. (rozdíl ~-2)
- framapiaf.org: ~10,8 tis. (rozdíl ~1)
- toot.io: ~10,59 tis. (rozdíl ~7)
- sself.co: ~10,55 tis. (rozdíl ~0)
- med-mastodon.com: ~10,43 tis. (rozdíl ~5)
- ruhr.social: ~10,32 tis. (rozdíl ~4)
- sigmoid.social: ~10,16 tis. (rozdíl ~7)
- social.anoxinon.de: ~10,06 tis. (rozdíl ~7)
- mstdn.tokyocameraclub.com: ~9,94 tis. (rozdíl ~1)
- love.alicecomplex.com: ~9,9 tis. (rozdíl ~0)
- noagendasocial.com: ~9,83 tis. (rozdíl ~0)
- social.dev-wiki.de: ~9,8 tis. (rozdíl ~5)
- hessen.social: ~9,79 tis. (rozdíl ~0)
- climatejustice.social: ~9,52 tis. (rozdíl ~3)
- projectmushroom.social: ~9,36 tis. (rozdíl ~-1)
- defcon.social: ~9,2 tis. (rozdíl ~25)
- ro-mastodon.puyo.jp: ~9,11 tis. (rozdíl ~3)
- mastodon.nz: ~8,97 tis. (rozdíl ~3)
- cyberplace.social: ~8,62 tis. (rozdíl ~13)
- pewtix.com: ~8,39 tis. (rozdíl ~1)
- socel.net: ~8,38 tis. (rozdíl ~7)
- aipi.social: ~8,36 tis. (rozdíl ~0)
- hostux.social: ~8,11 tis. (rozdíl ~5)
- dice.camp: ~8,1 tis. (rozdíl ~10)
- 101010.pl: ~8,06 tis. (rozdíl ~20)
- twit.social: ~8,01 tis. (rozdíl ~11)
- botsin.space: ~8,01 tis. (rozdíl ~14)
- me.ns.ci: ~7,99 tis. (rozdíl ~0)
- mastodon.fun: ~7,99 tis. (rozdíl ~0)
- h4.io: ~7,93 tis. (rozdíl ~3)
- econtwitter.net: ~7,9 tis. (rozdíl ~0)
- stranger.social: ~7,42 tis. (rozdíl ~31)
- g0v.social: ~7,4 tis. (rozdíl ~12)
- mastodont.cat: ~7,31 tis. (rozdíl ~6)
- geekdom.social: ~7,17 tis. (rozdíl ~48)
- truthsocial.co.in: ~7 tis. (rozdíl ~0)
- nojack.easydns.ca: ~6,95 tis. (rozdíl ~0)
- vocalodon.net: ~6,88 tis. (rozdíl ~19)
- social.librem.one: ~6,83 tis. (rozdíl ~1)
- mstdn.science: ~6,76 tis. (rozdíl ~5)
- graphics.social: ~6,64 tis. (rozdíl ~12)
- pol.social: ~6,48 tis. (rozdíl ~23)
- helladoge.com: ~6,26 tis. (rozdíl ~1)
- queer.party: ~6,13 tis. (rozdíl ~4)
- vis.social: ~6,13 tis. (rozdíl ~2)
- urbanists.social: ~5,99 tis. (rozdíl ~12)
- mastodonners.nl: ~5,85 tis. (rozdíl ~1)
- dju.social: ~5,77 tis. (rozdíl ~0)
- livellosegreto.it: ~5,75 tis. (rozdíl ~6)
- union.place: ~5,63 tis. (rozdíl ~11)
- imastodon.net: ~5,61 tis. (rozdíl ~4)
- kirakiratter.com: ~5,52 tis. (rozdíl ~0)
- ruby.social: ~5,48 tis. (rozdíl ~9)
- toot.funami.tech: ~5,43 tis. (rozdíl ~19)
- social.politicaconciencia.org: ~5,34 tis. (rozdíl ~3)
- zirk.us: ~5,28 tis. (rozdíl ~2)
- metalhead.club: ~5,28 tis. (rozdíl ~2)
- lou.lt: ~5,22 tis. (rozdíl ~0)
- toot.aquilenet.fr: ~5,16 tis. (rozdíl ~1)
- masto.pt: ~5,08 tis. (rozdíl ~5)
- aethy.com: ~4,97 tis. (rozdíl ~205)
- ura-mstdn.com: ~4,96 tis. (rozdíl ~1)
- mastodontti.fi: ~4,94 tis. (rozdíl ~3)
- fediscience.org: ~4,92 tis. (rozdíl ~15)
- ecoevo.social: ~4,9 tis. (rozdíl ~5)
- mastodonczech.cz: ~4,89 tis. (rozdíl ~94)
- scholar.social: ~4,8 tis. (rozdíl ~0)
- mstdn.guru: ~4,75 tis. (rozdíl ~0)
- convo.casa: ~4,6 tis. (rozdíl ~15)
- rollenspiel.social: ~4,5 tis. (rozdíl ~2)
- gensokyo.town: ~4,49 tis. (rozdíl ~1)
- moth.social: ~4,43 tis. (rozdíl ~32)
- kinkyelephant.com: ~4,43 tis. (rozdíl ~12)
- lor.sh: ~4,39 tis. (rozdíl ~3)
- mastodon.eus: ~4,37 tis. (rozdíl ~1)
- witches.live: ~4,3 tis. (rozdíl ~-7)
- bark.lgbt: ~4,3 tis. (rozdíl ~33)
- pouet.chapril.org: ~4,28 tis. (rozdíl ~-4)
- muenster.im: ~4,27 tis. (rozdíl ~5)
- ichiji.social: ~4,24 tis. (rozdíl ~6)
- wien.rocks: ~4,22 tis. (rozdíl ~3)
- linuxrocks.online: ~4,18 tis. (rozdíl ~2)
- todon.eu: ~4,15 tis. (rozdíl ~1)
- sociale.network: ~4,11 tis. (rozdíl ~0)
- 1234.as: ~4,09 tis. (rozdíl ~0)
- mastodon.com.py: ~4,06 tis. (rozdíl ~0)
- artsio.com: ~3,98 tis. (rozdíl ~0)
- phpc.social: ~3,98 tis. (rozdíl ~5)
- mastodon.zaclys.com: ~3,87 tis. (rozdíl ~4)
- bear.community: ~3,81 tis. (rozdíl ~3)
- social.targaryen.house: ~3,79 tis. (rozdíl ~0)
- mastodonbooks.net: ~3,76 tis. (rozdíl ~11)
- freeatlantis.com: ~3,69 tis. (rozdíl ~1)
- gensokyo.social: ~3,64 tis. (rozdíl ~2)
- dresden.network: ~3,63 tis. (rozdíl ~1)
- writing.exchange: ~3,58 tis. (rozdíl ~3)
- wandering.shop: ~3,56 tis. (rozdíl ~6)
- sciences.social: ~3,55 tis. (rozdíl ~8)
- pettingzoo.co: ~3,54 tis. (rozdíl ~0)
- genomic.social: ~3,52 tis. (rozdíl ~4)
- yiff.life: ~3,5 tis. (rozdíl ~8)
- mastodon-belgium.be: ~3,45 tis. (rozdíl ~3)
- bgme.me: ~3,42 tis. (rozdíl ~-1)
- qdon.space: ~3,41 tis. (rozdíl ~40)
- beta.qdon.space: ~3,41 tis. (rozdíl ~37)
- rubber.social: ~3,4 tis. (rozdíl ~4)
- masto.nobigtech.es: ~3,38 tis. (rozdíl ~13)
- todon.nl: ~3,34 tis. (rozdíl ~1)
- photog.social: ~3,31 tis. (rozdíl ~0)
- openpossibilities.org: ~3,3 tis. (rozdíl ~0)
- donphan.social: ~3,29 tis. (rozdíl ~2)
- mastoturk.org: ~3,26 tis. (rozdíl ~1)
- mathtod.online: ~3,26 tis. (rozdíl ~14)
- tooot.im: ~3,22 tis. (rozdíl ~14)
- rheinneckar.social: ~3,21 tis. (rozdíl ~1)
- liker.social: ~3,21 tis. (rozdíl ~3)
- fulda.social: ~3,2 tis. (rozdíl ~0)
- tabletop.social: ~3,16 tis. (rozdíl ~1)
- climatejustice.rocks: ~3,12 tis. (rozdíl ~3)
- cr8r.gg: ~3,09 tis. (rozdíl ~18)
- lile.cl: ~3,06 tis. (rozdíl ~3)
- xarxa.cloud: ~3,04 tis. (rozdíl ~1)
- journa.host: ~3,01 tis. (rozdíl ~0)
- opalstack.social: ~3 tis. (rozdíl ~4)
- persiansmastodon.com: ~3 tis. (rozdíl ~48)
- mastodon.elte.hu: ~2,99 tis. (rozdíl ~0)
- best-friends.chat: ~2,96 tis. (rozdíl ~11)
- toot.cafe: ~2,9 tis. (rozdíl ~0)
- toad.social: ~2,89 tis. (rozdíl ~37)
- ffxiv-mastodon.com: ~2,89 tis. (rozdíl ~141)
- cryptodon.lol: ~2,88 tis. (rozdíl ~-2)
- mastodon.in.th: ~2,88 tis. (rozdíl ~-5)
- ai.wiki: ~2,87 tis. (rozdíl ~20)
- ika.queloud.net: ~2,87 tis. (rozdíl ~47)
- cybre.space: ~2,84 tis. (rozdíl ~0)
- mastodon.arch-linux.cz: ~2,81 tis. (rozdíl ~40)
- discuss.systems: ~2,8 tis. (rozdíl ~-1)
- expressional.social: ~2,8 tis. (rozdíl ~18)
- hispagatos.space: ~2,79 tis. (rozdíl ~2)
- oc.todon.fr: ~2,78 tis. (rozdíl ~1)
- freeradical.zone: ~2,77 tis. (rozdíl ~0)
- ursal.zone: ~2,75 tis. (rozdíl ~29)
- tooting.ch: ~2,75 tis. (rozdíl ~0)
- androiddev.social: ~2,72 tis. (rozdíl ~5)
- bildung.social: ~2,71 tis. (rozdíl ~0)
- equestria.social: ~2,69 tis. (rozdíl ~15)
- berlin.social: ~2,67 tis. (rozdíl ~3)
- disabled.social: ~2,66 tis. (rozdíl ~4)
- darkart.space: ~2,63 tis. (rozdíl ~0)
- mastodon.radio: ~2,62 tis. (rozdíl ~5)
- freemasonry.social: ~2,59 tis. (rozdíl ~36)
- digitalcourage.social: ~2,59 tis. (rozdíl ~0)
- peoplemaking.games: ~2,58 tis. (rozdíl ~7)
- musician.social: ~2,58 tis. (rozdíl ~6)
- acg.debula.ml: ~2,58 tis. (rozdíl ~0)
- acg.mn: ~2,58 tis. (rozdíl ~0)
- kemonodon.club: ~2,55 tis. (rozdíl ~131)
- gameliberty.club: ~2,53 tis. (rozdíl ~0)
- mastodon.partipirate.org: ~2,53 tis. (rozdíl ~1)
- mstdn.fr: ~2,51 tis. (rozdíl ~0)
- freiburg.social: ~2,49 tis. (rozdíl ~2)
- toot.cat: ~2,47 tis. (rozdíl ~2)
- donotban.com: ~2,45 tis. (rozdíl ~0)
- vmst.io: ~2,45 tis. (rozdíl ~0)
