hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,879834,42838550,34499,1612578269
pawoo.net,up,mastodon,781310,67384070,23196,1612578266
baraag.net,up,mastodon,296068,7168208,17162,1612578267
mstdn.jp,up,mastodon,292639,62174056,23801,1612578266
mastodon.cloud,up,mastodon,229462,4553887,25978,1612578270
mastodon.online,up,mastodon,164632,2630128,21319,1612578267
mstdn.social,up,mastodon,136491,6494021,21389,1612578271
mas.to,up,mastodon,128387,1815998,22056,1612578271
mastodon.world,up,mastodon,109178,399437,13284,1615647261
gc2.jp,up,mastodon,100262,975788,0,1658913991
mastodon.lol,up,mastodon,73759,668199,16419,1612578270
c.im,up,mastodon,60455,502960,15789,1612578270
mastodon.sdf.org,up,mastodon,59540,630281,18695,1612578266
mastodonapp.uk,up,mastodon,55658,350054,10692,1667599292
mastodon.uno,up,mastodon,55657,592528,18694,1612578267
universeodon.com,up,mastodon,53084,181870,10052,1667629108
fosstodon.org,up,mastodon,47308,1302857,26540,1612578270
techhub.social,up,mastodon,44192,78042,11534,1612578267
mastodon.top,up,mastodon,43089,362643,16519,1612578268
mstdn.party,up,mastodon,39179,220076,9478,1667944871
mamot.fr,up,mastodon,38548,5969962,24107,1612578270
masto.ai,up,mastodon,35065,177413,11126,1667777524
m.cmx.im,up,mastodon,32885,3137499,13609,1612578265
ohai.social,up,mastodon,31932,120811,9447,1667930033
infosec.exchange,up,mastodon,31649,375139,19957,1612578269
sfba.social,up,mastodon,29698,150162,13642,1612578268
troet.cafe,up,mastodon,29586,911879,17869,1612578268
alive.bar,up,mastodon,27791,3083287,11861,1612578267
masthead.social,up,mastodon,27246,442191,18124,1612578270
mastodon.art,up,mastodon,26434,1451245,25264,1612578267
home.social,up,mastodon,25938,100690,9517,1667792203
mastodon.scot,up,mastodon,25230,379734,17792,1612578269
www.mastodon.scot,up,mastodon,25226,378429,17784,1640988107
qoto.org,up,mastodon,25123,905056,24423,1612578268
mastodon.nl,up,mastodon,25087,199015,17175,1612578268
hachyderm.io,up,mastodon,24961,155434,11817,1651060929
mastodon.xyz,up,mastodon,24150,1766351,28457,1612578271
mindly.social,up,mastodon,23843,140971,10656,1649557318
kolektiva.social,up,mastodon,23689,470141,15966,1612578270
mastodon.technology,up,mastodon,23560,1290561,23179,1612578269
toot.community,up,mastodon,22408,209476,11918,1667465053
mstdn.ca,up,mastodon,21992,118509,11439,1651043715
tkz.one,up,mastodon,20516,102370,6325,1650008092
