hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,835735,41605047,31476,1612578269
pawoo.net,up,mastodon,772955,67285913,21415,1612578266
baraag.net,up,mastodon,287372,7102509,16793,1612578267
mstdn.jp,up,mastodon,260310,61858342,21432,1612578266
mastodon.cloud,up,mastodon,225713,4520207,23438,1612578270
mastodon.online,up,mastodon,164663,2376294,18580,1612578267
imaginary-sponge-hook.glitch.me,up,mastodon,130634,6102658,18634,1668309816
mstdn.social,up,mastodon,130580,6101685,18627,1612578271
mas.to,up,mastodon,111071,1522939,19388,1612578271
gc2.jp,up,mastodon,100244,942718,0,1658913991
c.im,up,mastodon,56132,354244,13058,1612578270
mastodon.lol,up,mastodon,43927,413624,12951,1612578270
fosstodon.org,up,mastodon,43459,1196027,23783,1612578270
mastodon.top,up,mastodon,42825,342826,14595,1612578268
mastodon.uno,up,mastodon,41673,491759,16380,1612578267
mastodonapp.uk,up,mastodon,38917,184003,8023,1667599292
mamot.fr,up,mastodon,38574,5930236,22035,1612578270
mastodon.sdf.org,up,mastodon,34076,556318,16448,1612578266
m.cmx.im,up,mastodon,30918,3072498,12183,1612578265
alive.bar,up,mastodon,27610,3041785,10583,1612578267
mastodon.world,up,mastodon,26357,116912,10545,1615647261
mastodon.art,up,mastodon,26264,1358973,22700,1612578267
masthead.social,up,mastodon,25711,425203,15810,1612578270
qoto.org,up,mastodon,24252,879269,21922,1612578268
mastodon.xyz,up,mastodon,23864,1745856,25866,1612578271
mastodon.technology,up,mastodon,23633,1292286,21373,1612578269
infosec.exchange,up,mastodon,23411,244934,17232,1612578269
troet.cafe,up,mastodon,23164,727544,15687,1612578268
sfba.social,up,mastodon,22283,78051,10946,1612578268
techhub.social,up,mastodon,22227,27456,8980,1612578267
wxw.ooo,up,mastodon,19878,5315099,12967,1666241191
wxw.moe,up,mastodon,19875,5313845,12961,1612578266
mstdn.party,up,mastodon,19568,67476,5522,1667944871
www.mastodon.scot,up,mastodon,18925,234216,15528,1640988107
mastodon.scot,up,mastodon,18911,233343,15520,1612578269
social.tchncs.de,up,mastodon,18889,1692125,23319,1612578266
ohai.social,up,mastodon,18506,30519,6287,1667930033
home.social,up,mastodon,18328,38547,6299,1667792203
mastodon.nl,up,mastodon,18088,137123,15120,1612578268
mastodon.bida.im,up,mastodon,17486,781919,17232,1612578268
mindly.social,up,mastodon,17297,55555,8045,1649557318
mstdn.io,up,mastodon,17206,2525598,21254,1612578270
aus.social,up,mastodon,17041,393947,15481,1612578268
toot.community,up,mastodon,17030,115785,9075,1667465053
m.rthome.me,up,mastodon,16540,629,3681,1612578345
abdl.link,up,mastodon,15928,274238,6841,1612578267
o3o.ca,up,mastodon,14883,4595905,10820,1612578269
universeodon.com,up,mastodon,14815,38586,6259,1667629108
mastodon.ie,up,mastodon,14799,163413,13525,1612578268
ravenation.club,up,mastodon,14742,150658,7696,1651017592
kolektiva.social,up,mastodon,14722,379264,13641,1612578270
mao.mastodonhub.com,up,mastodon,14460,1345177,8747,1612578269
ioc.exchange,up,mastodon,14114,101817,12915,1612578269
nerdculture.de,up,mastodon,13995,102915,14645,1612578269
mastodon.gamedev.place,up,mastodon,13742,165867,17626,1612578266
mastodon.com.tr,up,mastodon,13318,101666,5289,1651774648
bitcoinhackers.org,up,mastodon,12955,824065,17091,1612578268
eldritch.cafe,up,mastodon,12556,1807585,19653,1612578267
toot.wales,up,mastodon,12215,132821,16964,1612578268
octodon.social,up,mastodon,12111,2160868,21639,1612578266
mastodontech.de,up,mastodon,11507,100561,13989,1612578266
noc.social,up,mastodon,11373,85857,12091,1612578269
det.social,up,mastodon,11232,98669,7717,1651496694
mastodon.green,up,mastodon,10988,123718,12118,1612578266
framapiaf.org,up,mastodon,10827,2072836,19610,1612578271
kinky.business,up,mastodon,10780,275088,13178,1612578268
twingyeo.kr,up,mastodon,10317,1201953,11873,1612578267
awscommunity.social,up,mastodon,10194,69782,7359,1651137353
chaos.social,up,mastodon,10147,3132367,22264,1612578270
nrw.social,up,mastodon,9951,120790,9531,1612578266
love.alicecomplex.com,up,mastodon,9904,47684481,88168,1612578270
social.linux.pizza,up,mastodon,9720,231041,19998,1612578269
masto.ai,up,mastodon,9662,66473,8141,1667777524
climatejustice.social,up,mastodon,9554,113385,11654,1612578268
norden.social,up,mastodon,9381,516974,15857,1612578268
tkz.one,up,mastodon,9337,36392,3714,1650008092
noagendasocial.com,up,mastodon,9301,3678224,10665,1612578269
masto.pt,up,mastodon,9121,139691,16902,1612578270
mastodon.nu,up,mastodon,9033,51407,8457,1612579014
hachyderm.io,up,mastodon,8946,64233,8864,1651060929
mastodon.iriseden.eu,up,mastodon,8826,11167,9054,1612578267
ro-mastodon.puyo.jp,up,mastodon,8543,2087247,1848,1612578267
indieweb.social,up,mastodon,8425,57275,16715,1612578267
glasgow.social,up,mastodon,8303,90959,10050,1612578268
meow.social,up,mastodon,8229,665272,16177,1612578267
sueden.social,up,mastodon,7841,54373,8980,1651092057
me.ns.ci,up,mastodon,7747,781124,8795,1612578270
mastodon.fun,up,mastodon,7747,781124,8795,1612578387
mastouille.fr,up,mastodon,7423,11280,7785,1621282389
101010.pl,up,mastodon,6838,109374,15956,1612578269
