hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,1609413,69415168,63062,1612578269
pawoo.net,up,mastodon,922221,70761549,37144,1612578266
daystorm.netz.org,up,mastodon,479002,20,16,1683075712
mstdn.jp,up,mastodon,401836,70674624,60182,1612578266
baraag.net,up,mastodon,293230,9898249,26700,1612578267
mastodon.cloud,up,mastodon,273586,5365826,47404,1612578270
pravda.me,up,mastodon,215524,1214085,4881,1676919172
mstdn.social,up,mastodon,213564,13255173,56202,1612578271
mastodon.online,up,mastodon,189807,6496554,39769,1612578267
mastodon.world,up,mastodon,177943,4070894,31906,1615647261
mas.to,up,mastodon,166203,5838638,40388,1612578271
gc2.jp,up,mastodon,99896,1276068,0,1658913991
techhub.social,up,mastodon,78605,1103904,51036,1612578267
universeodon.com,up,mastodon,76873,2419231,22900,1667629108
mastodonapp.uk,up,mastodon,74529,2300857,28495,1667599292
masto.ai,up,mastodon,72799,1692546,58042,1667777524
mastodon.sdf.org,up,mastodon,72773,1587573,30626,1612578266
mastodon.uno,up,mastodon,69619,1216278,34497,1612578267
c.im,up,mastodon,64494,1837946,31854,1612578270
fosstodon.org,up,mastodon,61425,2683304,44881,1612578270
infosec.exchange,up,mastodon,60261,1998319,37975,1612578269
mastodon.top,up,mastodon,51093,604041,29350,1612578268
mstdn.party,up,mastodon,50053,1279761,27593,1667944871
hachyderm.io,up,mastodon,49759,1991823,30966,1651060929
persistent.info,up,mastodon,49759,1991823,,1668988968
evsyukov.org,up,mastodon,49759,1991823,22,1669235116
troet.cafe,up,mastodon,42229,3215369,31702,1612578268
m.cmx.im,up,mastodon,41251,4631283,54760,1612578265
mastodon.nl,up,mastodon,40047,1363850,32367,1612578268
ohai.social,up,mastodon,38740,992268,28255,1667930033
sfba.social,up,mastodon,38530,1594536,38167,1612578268
mamot.fr,up,mastodon,38399,6439371,39871,1612578270
social.vivaldi.net,up,mastodon,37965,1306026,53629,1668254531
kolektiva.social,up,mastodon,36809,1924397,47120,1612578270
loforo.com,up,mastodon,35660,4359243,23169,1670267516
mindly.social,up,mastodon,35577,1072223,27223,1649557318
mastodon.art,up,mastodon,35415,2869842,42548,1612578267
mstdn.ca,up,mastodon,34960,1729343,29735,1651043715
tkz.one,up,mastodon,33424,413259,18182,1650008092
mast.lat,up,mastodon,33424,43751,13255,1671490848
mastorock.com,up,mastodon,33355,2003,3300,1685993082
toot.community,up,mastodon,30525,1109865,27685,1667465053
alive.bar,up,mastodon,30098,4228627,23050,1612578267
mastodon.gamedev.place,up,mastodon,28991,937044,37475,1612578266
mastodon.scot,up,mastodon,28673,1433369,33475,1612578269
www.mastodon.scot,up,mastodon,28673,1433369,33475,1640988107
mastodon.xyz,up,mastodon,28535,1918304,44822,1612578271
piaille.fr,up,mastodon,27682,1378058,23817,1667313769
qoto.org,up,mastodon,26395,1452235,40091,1612578268
mastodon.au,up,mastodon,26153,507312,25922,1665705253
ioc.exchange,up,mastodon,25943,358257,30166,1612578269
ravenation.club,up,mastodon,25521,392321,26534,1651017592
aus.social,up,mastodon,24855,1835946,34110,1612578268
masto.es,up,mastodon,23751,388945,19361,1668226037
planet.moe,up,mastodon,22913,2984046,19054,1612578269
wxw.ooo,up,mastodon,22039,7708394,24873,1666241191
wxw.moe,up,mastodon,22038,7708105,24873,1612578266
twingyeo.kr,up,mastodon,21766,2225389,25470,1612578267
mastouille.fr,up,mastodon,21273,150834,24007,1621282389
social.tchncs.de,up,mastodon,21185,2413976,42424,1612578266
newsie.social,up,mastodon,20868,804133,122179,1667220086
mastodon.com.tr,up,mastodon,20672,460597,15779,1651774648
mastodon.ie,up,mastodon,20652,973964,33505,1612578268
mastodon.bida.im,up,mastodon,20594,879219,32313,1612578268
det.social,up,mastodon,20437,621470,22101,1651496694
masto.nu,up,mastodon,20227,77727,20877,1668359341
nrw.social,up,mastodon,17932,860237,24733,1612578266
o3o.ca,up,mastodon,17695,6515458,23796,1612578269
m.rthome.me,up,mastodon,17636,666,5545,1612578345
abdl.link,up,mastodon,16630,291874,14398,1612578267
mastodontech.de,up,mastodon,16531,317614,31219,1612578266
mastodon.nu,up,mastodon,16498,471501,26070,1612579014
mathstodon.xyz,up,mastodon,15931,856486,35789,1612578268
me.dm,up,mastodon,15848,96394,24464,1673350243
theblower.au,up,mastodon,15242,187603,19641,1667918249
mastodon-japan.net,up,mastodon,14859,2188797,14709,1667983507
glasgow.social,up,mastodon,14786,170031,25403,1612578268
mao.mastodonhub.com,up,mastodon,14625,1408074,13973,1612578269
sueden.social,up,mastodon,14353,449707,26555,1651092057
ieji.de,up,mastodon,13904,238663,35585,1612578267
noc.social,up,mastodon,13292,301240,28874,1612578269
kinky.business,up,mastodon,13001,435945,26995,1612578268
meow.social,up,mastodon,12946,1502759,32291,1612578267
norden.social,up,mastodon,12933,1648647,34318,1612578268
tech.lgbt,up,mastodon,12871,1989003,35226,1612578267
eldritch.cafe,up,mastodon,12752,2352145,36400,1612578267
aethy.com,up,mastodon,12234,584758,13571,1667676749
octodon.social,up,mastodon,12222,2678783,40200,1612578266
mastodon.green,up,mastodon,11912,748648,28609,1612578266
social.cologne,up,mastodon,11903,422069,28800,1612578265
chaos.social,up,mastodon,11342,5059109,59474,1612578270
mastodon.iriseden.eu,up,mastodon,11194,67575,21499,1612578267
toot.io,up,mastodon,11129,105565,26678,1612578267
indieweb.social,up,mastodon,11093,382064,36302,1612578267
denostodon.deno.dev,up,mastodon,11093,382064,,1682895834
social.linux.pizza,up,mastodon,11088,488860,38815,1612578269
defcon.social,up,mastodon,11033,145436,24420,1668556021
awscommunity.social,up,mastodon,11032,188718,25120,1651137353
muenchen.social,up,mastodon,10807,388371,25112,1612578269
framapiaf.org,up,mastodon,10796,2340823,33421,1612578271
med-mastodon.com,up,mastodon,10638,347506,25888,1667195769
sigmoid.social,up,mastodon,10396,149362,25574,1667484307
ruhr.social,up,mastodon,10389,463829,33112,1612578266
social.anoxinon.de,up,mastodon,10219,340172,29208,1612578267
social.dev-wiki.de,up,mastodon,10141,132601,25165,1612578266
nerdculture.de,up,mastodon,10094,491362,22136,1612578269
mstdn.tokyocameraclub.com,up,mastodon,10022,123698,11168,1612578270
love.alicecomplex.com,up,mastodon,9904,28047222,118468,1612578270
hessen.social,up,mastodon,9829,367879,22335,1621452692
climatejustice.social,up,mastodon,9642,361633,20665,1612578268
projectmushroom.social,up,mastodon,9346,34325,,1668572864
ro-mastodon.puyo.jp,up,mastodon,9298,2379633,3161,1612578267
noagendasocial.com,up,mastodon,9042,4077399,67435,1612578269
mastodon.nz,up,mastodon,9012,723899,28409,1612578268
cyberplace.social,up,mastodon,8925,36963,21779,1669121871
dice.camp,up,mastodon,8562,691362,29946,1612578270
aipi.social,up,mastodon,8396,20830,3985,1612578266
socel.net,up,mastodon,8390,296040,30009,1612578267
botsin.space,up,mastodon,8385,23361954,36717,1612578269
stranger.social,up,mastodon,8326,125109,21715,1669842504
hostux.social,up,mastodon,8207,404946,27049,1612578266
101010.pl,up,mastodon,8184,393476,31794,1612578269
twit.social,up,mastodon,8140,289337,31522,1612578268
h4.io,up,mastodon,8071,69057,17157,1651682903
me.ns.ci,up,mastodon,8041,1020022,18433,1612578270
mastodon.fun,up,mastodon,8041,1020022,18433,1612578387
econtwitter.net,up,mastodon,8023,229617,24483,1667605044
geekdom.social,up,mastodon,8008,64541,19392,1669308888
g0v.social,up,mastodon,7515,861767,27524,1612578269
mastodont.cat,up,mastodon,7444,972575,20828,1612578269
truthsocial.co.in,up,mastodon,7212,59853,108454,1651281820
graphics.social,up,mastodon,7026,16249,21300,1667628718
